product_name,product_url,product_rating,product_price,product_revenue
"Máy chiếu gia đình KAW K650 plus smart android 10, ios bảo hành 1 đổi 1",https://shopee.vn/M%C3%A1y-chi%E1%BA%BFu-gia-%C4%91%C3%ACnh-KAW-K650-plus-smart-android-10-ios-b%E1%BA%A3o-h%C3%A0nh-1-%C4%91%E1%BB%95i-1-i.736113091.18852131206?sp_atk=6d9dc380-e104-4037-bb5b-a567053431f9&xptdk=6d9dc380-e104-4037-bb5b-a567053431f9,4.9,1785000,756840000
[Mã ELFLASH3 hoàn 10K xu đơn 20K] Dây cáp máy in cổng USB 1.5M / 3M/ 5M Giá Rẻ,https://shopee.vn/-M%C3%A3-ELFLASH3-ho%C3%A0n-10K-xu-%C4%91%C6%A1n-20K-D%C3%A2y-c%C3%A1p-m%C3%A1y-in-c%E1%BB%95ng-USB-1.5M-3M-5M-Gi%C3%A1-R%E1%BA%BB-i.131989706.5331114431?sp_atk=b1ec62b0-514d-410f-8344-d280c6641d25&xptdk=b1ec62b0-514d-410f-8344-d280c6641d25,4.9,11000,36300000
"Giấy in nhiệt Shoptida 300 tờ 7*10cm 3 lớp tự dán chống nước, sử dụng cho máy in nhiệt Shoptida SP46",https://shopee.vn/Gi%E1%BA%A5y-in-nhi%E1%BB%87t-Shoptida-300-t%E1%BB%9D-7*10cm-3-l%E1%BB%9Bp-t%E1%BB%B1-d%C3%A1n-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-s%E1%BB%AD-d%E1%BB%A5ng-cho-m%C3%A1y-in-nhi%E1%BB%87t-Shoptida-SP46-i.167961044.5217941805?sp_atk=1c295ee2-061d-416e-81a0-ac2432fd7a32&xptdk=1c295ee2-061d-416e-81a0-ac2432fd7a32,5.0,55000,88000000
Mực in GI-790 - mực in phun màu cho máy in Canon G1000 / G2000 / G1010 / G2010,https://shopee.vn/M%E1%BB%B1c-in-GI-790-m%E1%BB%B1c-in-phun-m%C3%A0u-cho-m%C3%A1y-in-Canon-G1000-G2000-G1010-G2010-i.618221240.19828581941?sp_atk=0807d9bf-d75e-4613-901a-71614486adfb&xptdk=0807d9bf-d75e-4613-901a-71614486adfb,4.8,55000,159500000
"Máy in đơn hàng AYIN 480-5 in nhiệt, mã vận đơn, mã vạch, phiếu gửi hàng, logo có sẵn lớp keo tự dính BH 12 tháng",https://shopee.vn/M%C3%A1y-in-%C4%91%C6%A1n-h%C3%A0ng-AYIN-480-5-in-nhi%E1%BB%87t-m%C3%A3-v%E1%BA%ADn-%C4%91%C6%A1n-m%C3%A3-v%E1%BA%A1ch-phi%E1%BA%BFu-g%E1%BB%ADi-h%C3%A0ng-logo-c%C3%B3-s%E1%BA%B5n-l%E1%BB%9Bp-keo-t%E1%BB%B1-d%C3%ADnh-BH-12-th%C3%A1ng-i.572499966.10963855124?sp_atk=7ec18915-d52e-46e5-a5fe-a2f859cc28b3&xptdk=7ec18915-d52e-46e5-a5fe-a2f859cc28b3,5.0,1350000,511650000
"Giấy in nhiệt tự dán sử dụng cho máy in hộp phấn H11 shoptida, chống nước, chống bay chữ",https://shopee.vn/Gi%E1%BA%A5y-in-nhi%E1%BB%87t-t%E1%BB%B1-d%C3%A1n-s%E1%BB%AD-d%E1%BB%A5ng-cho-m%C3%A1y-in-h%E1%BB%99p-ph%E1%BA%A5n-H11-shoptida-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-ch%E1%BB%91ng-bay-ch%E1%BB%AF-i.548535184.19053491280?sp_atk=e3ffc8b3-4829-4d0d-baf7-47fa3b5a7e9e&xptdk=e3ffc8b3-4829-4d0d-baf7-47fa3b5a7e9e,5.0,58000,81200000
"Tệp 1000 Giấy In Nhiệt Tự Dính Deli - 3 Lớp Size A6 A7 80x120 Cho Đơn Hàng Thương Mại Điện Tử, Mã Vạch, Hóa Đơn",https://shopee.vn/T%E1%BB%87p-1000-Gi%E1%BA%A5y-In-Nhi%E1%BB%87t-T%E1%BB%B1-D%C3%ADnh-Deli-3-L%E1%BB%9Bp-Size-A6-A7-80x120-Cho-%C4%90%C6%A1n-H%C3%A0ng-Th%C6%B0%C6%A1ng-M%E1%BA%A1i-%C4%90i%E1%BB%87n-T%E1%BB%AD-M%C3%A3-V%E1%BA%A1ch-H%C3%B3a-%C4%90%C6%A1n-i.347048079.17681125017?sp_atk=80e37a9b-b526-40bd-99a5-3ffebaf61d54&xptdk=80e37a9b-b526-40bd-99a5-3ffebaf61d54,4.8,75000,82500000
Hộp mực máy in 78A/326 - Cartridge 78A/326 có lỗ đổ mực là lỗ xả thải (CE278A) đen,https://shopee.vn/H%E1%BB%99p-m%E1%BB%B1c-m%C3%A1y-in-78A-326-Cartridge-78A-326-c%C3%B3-l%E1%BB%97-%C4%91%E1%BB%95-m%E1%BB%B1c-l%C3%A0-l%E1%BB%97-x%E1%BA%A3-th%E1%BA%A3i-(CE278A)-%C4%91en-i.58138428.1067036581?sp_atk=1dd83c02-b945-437d-a37a-2e9947d530fc&xptdk=1dd83c02-b945-437d-a37a-2e9947d530fc,4.9,105000,241500000
Máy in nhiệt 5S in đơn hàng TMĐT A6 A7 các loại tem minicode tem mã vạch,https://shopee.vn/M%C3%A1y-in-nhi%E1%BB%87t-5S-in-%C4%91%C6%A1n-h%C3%A0ng-TM%C4%90T-A6-A7-c%C3%A1c-lo%E1%BA%A1i-tem-minicode-tem-m%C3%A3-v%E1%BA%A1ch-i.392485882.14586912502?sp_atk=10860faf-5ba6-44ff-afd4-5461d0f95bbe&xptdk=10860faf-5ba6-44ff-afd4-5461d0f95bbe,4.8,800000,1200000000
"Máy quét mã vạch để bàn KAW - Công Nghệ CMOS, Tần Số Quét 200L/Giây, Quét Mã QR, Mã Vạch",https://shopee.vn/M%C3%A1y-qu%C3%A9t-m%C3%A3-v%E1%BA%A1ch-%C4%91%E1%BB%83-b%C3%A0n-KAW-C%C3%B4ng-Ngh%E1%BB%87-CMOS-T%E1%BA%A7n-S%E1%BB%91-Qu%C3%A9t-200L-Gi%C3%A2y-Qu%C3%A9t-M%C3%A3-QR-M%C3%A3-V%E1%BA%A1ch-i.592090769.21271448570?sp_atk=252d1c5e-2bc6-4fc2-8b48-9c72d241d05b&xptdk=252d1c5e-2bc6-4fc2-8b48-9c72d241d05b,5.0,599000,1617300000
"Màn chiếu treo tường - Màn chiếu phản quang KAW 100 inch, 120 Inch giúp máy chiếu sáng thêm gấp 5 lần, gấp gọn",https://shopee.vn/M%C3%A0n-chi%E1%BA%BFu-treo-t%C6%B0%E1%BB%9Dng-M%C3%A0n-chi%E1%BA%BFu-ph%E1%BA%A3n-quang-KAW-100-inch-120-Inch-gi%C3%BAp-m%C3%A1y-chi%E1%BA%BFu-s%C3%A1ng-th%C3%AAm-g%E1%BA%A5p-5-l%E1%BA%A7n-g%E1%BA%A5p-g%E1%BB%8Dn-i.919735353.23823347051?sp_atk=74446df2-3ed2-4b55-9423-95fd1476c72d&xptdk=74446df2-3ed2-4b55-9423-95fd1476c72d,4.8,249000,205923000
Bộ mực 4 màu 003 dùng cho máy in epson L1110/L1210/L3110/L3150/L4150/1210,https://shopee.vn/B%E1%BB%99-m%E1%BB%B1c-4-m%C3%A0u-003-d%C3%B9ng-cho-m%C3%A1y-in-epson-L1110-L1210-L3110-L3150-L4150-1210-i.514420744.16322995403?sp_atk=58db2bf2-9c13-49e8-98e4-651f404ee326&xptdk=58db2bf2-9c13-49e8-98e4-651f404ee326,4.9,48000,67200000
"Máy in nhiệt đơn sàn TMĐT, in đơn qua điện thoại 480BT, in mã vận chuyển, tem, logo bảo hành 15 tháng",https://shopee.vn/M%C3%A1y-in-nhi%E1%BB%87t-%C4%91%C6%A1n-s%C3%A0n-TM%C4%90T-in-%C4%91%C6%A1n-qua-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-480BT-in-m%C3%A3-v%E1%BA%ADn-chuy%E1%BB%83n-tem-logo-b%E1%BA%A3o-h%C3%A0nh-15-th%C3%A1ng-i.452267536.16641214040?sp_atk=9c4c8018-f12a-461f-afd3-81a9ccc1c28f&xptdk=9c4c8018-f12a-461f-afd3-81a9ccc1c28f,4.9,1350000,135000000
[Xả kho] Bút trình chiếu Vesine VP-101 ( bút chỉ laser tia đỏ) tặng bao da đựng bút,https://shopee.vn/-Xa%CC%89-kho-B%C3%BAt-tr%C3%ACnh-chi%E1%BA%BFu-Vesine-VP-101-(-b%C3%BAt-ch%E1%BB%89-laser-tia-%C4%91%E1%BB%8F)-t%E1%BA%B7ng-bao-da-%C4%91%E1%BB%B1ng-b%C3%BAt-i.264970529.6234817301?sp_atk=7cfe3747-d4e6-47b0-8097-9e688495be9e&xptdk=7cfe3747-d4e6-47b0-8097-9e688495be9e,4.9,98000,76342000
Dây Máy In USB 1.5m 3m 5m - Dây cáp kết nói máy in với máy tính,https://shopee.vn/D%C3%A2y-M%C3%A1y-In-USB-1.5m-3m-5m-D%C3%A2y-c%C3%A1p-k%E1%BA%BFt-n%C3%B3i-m%C3%A1y-in-v%E1%BB%9Bi-m%C3%A1y-t%C3%ADnh-i.634754185.14074477989?sp_atk=030218fb-f2e3-4f80-8d42-cf07f4216919&xptdk=030218fb-f2e3-4f80-8d42-cf07f4216919,4.9,6000,4986000
"Mực đổ Brother 2321,2701,2320,2240,7060,Ricoh SP 230",https://shopee.vn/M%E1%BB%B1c-%C4%91%E1%BB%95-Brother-2321-2701-2320-2240-7060-Ricoh-SP-230-i.44731205.2473120594?sp_atk=74b3d97a-7fd6-44ca-9343-2d43d9b2d93a&xptdk=74b3d97a-7fd6-44ca-9343-2d43d9b2d93a,4.9,26000,517400000
"Máy In Nhiệt DELI Khổ A6 A7 In Đơn Hàng Bằng Điện Thoại, In Đơn Thương Mại Điện Tử, Phiếu Gửi, Minicode, Logo Tự Dính",https://shopee.vn/M%C3%A1y-In-Nhi%E1%BB%87t-DELI-Kh%E1%BB%95-A6-A7-In-%C4%90%C6%A1n-H%C3%A0ng-B%E1%BA%B1ng-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-In-%C4%90%C6%A1n-Th%C6%B0%C6%A1ng-M%E1%BA%A1i-%C4%90i%E1%BB%87n-T%E1%BB%AD-Phi%E1%BA%BFu-G%E1%BB%ADi-Minicode-Logo-T%E1%BB%B1-D%C3%ADnh-i.347048079.18916723637?sp_atk=8bc5fccc-ba4f-4916-8dc0-e55f73ece1b0&xptdk=8bc5fccc-ba4f-4916-8dc0-e55f73ece1b0,4.7,859000,580684000
