product_name,product_url,product_rating,product_price,product_revenue
"Bộ tiếp mực Canon Ts207,707 Loại tốt có sẵn mực",https://shopee.vn/B%E1%BB%99-ti%E1%BA%BFp-m%E1%BB%B1c-Canon-Ts207-707-Lo%E1%BA%A1i-t%E1%BB%91t-c%C3%B3-s%E1%BA%B5n-m%E1%BB%B1c-i.332989305.21322849473?sp_atk=7178283e-3883-4847-9ced-79dfff0617a9&xptdk=7178283e-3883-4847-9ced-79dfff0617a9,4.8,85000,21165000
Gá Cử viền 2 mép di động dùng được cho máy 1 kim và máy kansai,https://shopee.vn/G%C3%A1-C%E1%BB%AD-vi%E1%BB%81n-2-m%C3%A9p-di-%C4%91%E1%BB%99ng-d%C3%B9ng-%C4%91%C6%B0%E1%BB%A3c-cho-m%C3%A1y-1-kim-v%C3%A0-m%C3%A1y-kansai-i.79683269.2356114588?sp_atk=bb09723d-1a8f-44c9-a68b-03b93de8c823&xptdk=bb09723d-1a8f-44c9-a68b-03b93de8c823,4.9,36000,39600000
"Combo 4 hộp mực in phun màu dùng cho máy in Brother T320, T520W, T720W, T820W, T920W, T4000, T4500DW - BTD60/BT5000",https://shopee.vn/Combo-4-h%E1%BB%99p-m%E1%BB%B1c-in-phun-m%C3%A0u-d%C3%B9ng-cho-m%C3%A1y-in-Brother-T320-T520W-T720W-T820W-T920W-T4000-T4500DW-BTD60-BT5000-i.19047638.10430843443?sp_atk=288f3a45-e55e-4680-b04d-76e305007f97&xptdk=288f3a45-e55e-4680-b04d-76e305007f97,5.0,149000,99681000
"Vitme T8 Bước 2, 4, 8mm Dài 100 - 500mm Cho Máy In 3D",https://shopee.vn/Vitme-T8-B%C6%B0%E1%BB%9Bc-2-4-8mm-D%C3%A0i-100-500mm-Cho-M%C3%A1y-In-3D-i.156358981.2337589562?sp_atk=78764ea4-e534-4d1b-933e-5346ed781f3d&xptdk=78764ea4-e534-4d1b-933e-5346ed781f3d,5.0,25000,32500000
Nhựa In 3D PLA Thuần KINGROON,https://shopee.vn/Nh%E1%BB%B1a-In-3D-PLA-Thu%E1%BA%A7n-KINGROON-i.111647933.19842199710?sp_atk=92b20f74-8132-4d93-9ea6-de184579ceb8&xptdk=92b20f74-8132-4d93-9ea6-de184579ceb8,4.9,189000,91854000
Máy Chiếu Mini Có Nhiều Cổng Dễ Sử Dụng Phù Hợp Cho Cả Gia Đình Và Trẻ Nhỏ,https://shopee.vn/M%C3%A1y-Chi%E1%BA%BFu-Mini-C%C3%B3-Nhi%E1%BB%81u-C%E1%BB%95ng-D%E1%BB%85-S%E1%BB%AD-D%E1%BB%A5ng-Ph%C3%B9-H%E1%BB%A3p-Cho-C%E1%BA%A3-Gia-%C4%90%C3%ACnh-V%C3%A0-Tr%E1%BA%BB-Nh%E1%BB%8F-i.93376344.21859468463?sp_atk=ae8acf3a-f833-4198-bdb0-835da2664599&xptdk=ae8acf3a-f833-4198-bdb0-835da2664599,4.5,609000,23751000
Mực in epson - Mực dầu Pigment UV 100ml dùng cho máy in phun màu Epson T50 / T60 / L310 / L805 / L1800...,https://shopee.vn/M%E1%BB%B1c-in-epson-M%E1%BB%B1c-d%E1%BA%A7u-Pigment-UV-100ml-d%C3%B9ng-cho-m%C3%A1y-in-phun-m%C3%A0u-Epson-T50-T60-L310-L805-L1800...-i.256057209.12151087185?sp_atk=763778c3-86ad-4e2b-a7d8-d4a0f92d7c2d&xptdk=763778c3-86ad-4e2b-a7d8-d4a0f92d7c2d,4.7,68500,67267000
"Bút làm sạch đầu in cho máy in nhiệt, máy in bill, in mã vạch",https://shopee.vn/B%C3%BAt-l%C3%A0m-s%E1%BA%A1ch-%C4%91%E1%BA%A7u-in-cho-m%C3%A1y-in-nhi%E1%BB%87t-m%C3%A1y-in-bill-in-m%C3%A3-v%E1%BA%A1ch-i.452267536.11165709857?sp_atk=cba4d56b-a1a0-4a0e-9cd0-d266c47d76ae&xptdk=cba4d56b-a1a0-4a0e-9cd0-d266c47d76ae,5.0,29000,81200000
[Mã ELCL12 giảm 9% đơn 300K] Máy in phun đơn năng Canon TS207- hàng chính hãng,https://shopee.vn/-M%C3%A3-ELCL12-gi%E1%BA%A3m-9-%C4%91%C6%A1n-300K-M%C3%A1y-in-phun-%C4%91%C6%A1n-n%C4%83ng-Canon-TS207-h%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.98492505.13507725535?sp_atk=bf2452da-b437-440e-b52e-02977e7c07b4&xptdk=bf2452da-b437-440e-b52e-02977e7c07b4,4.8,1276000,1403600000
Màn chiếu tương phản cao hỗ trợ máy chiếu,https://shopee.vn/M%C3%A0n-chi%E1%BA%BFu-t%C6%B0%C6%A1ng-ph%E1%BA%A3n-cao-h%E1%BB%97-tr%E1%BB%A3-m%C3%A1y-chi%E1%BA%BFu-i.826610880.18532354125?sp_atk=ffeca3ac-c9ac-4b76-a13c-0e161d56d781&xptdk=ffeca3ac-c9ac-4b76-a13c-0e161d56d781,4.8,300000,110400000
Hộp mực Brother TN 2385 cho HL-2321D/ 2361DN/ 2366DW/ 2701D/ 2300D/ 2340DW/ 2360D/..- HÀNG FULL BOX,https://shopee.vn/H%E1%BB%99p-m%E1%BB%B1c-Brother-TN-2385-cho-HL-2321D-2361DN-2366DW-2701D-2300D-2340DW-2360D-..-H%C3%80NG-FULL-BOX-i.435066857.3388056332?sp_atk=ebdfda5a-1f31-4e07-9781-a847a60a2129&xptdk=ebdfda5a-1f31-4e07-9781-a847a60a2129,4.7,95000,114000000
"trống máy in canon 2900, 3000",https://shopee.vn/tr%E1%BB%91ng-m%C3%A1y-in-canon-2900-3000-i.48463782.4726782912?sp_atk=9b7e4ac2-4d88-4c0f-8d1d-86aa9bf02882&xptdk=9b7e4ac2-4d88-4c0f-8d1d-86aa9bf02882,4.8,18000,28800000
"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Puly GT2 20 Răng Bước 2mm Bản 6, 10mm cho Máy in 3D",https://shopee.vn/-M%C3%A3-ELFLASH3-ho%C3%A0n-10K-xu-%C4%91%C6%A1n-20K-Puly-GT2-20-R%C4%83ng-B%C6%B0%E1%BB%9Bc-2mm-B%E1%BA%A3n-6-10mm-cho-M%C3%A1y-in-3D-i.156358981.2336765468?sp_atk=2c3e7a58-a37c-4a69-801c-c22e67adf3c1&xptdk=2c3e7a58-a37c-4a69-801c-c22e67adf3c1,5.0,8900,22250000
