product_name,product_url,product_rating,product_price,product_revenue
Bộ 3 đôi tất nam cổ ngắn Ariza,https://shopee.vn/B%E1%BB%99-3-%C4%91%C3%B4i-t%E1%BA%A5t-nam-c%E1%BB%95-ng%E1%BA%AFn-Ariza-i.26534155.1574658419?sp_atk=d00cae45-39e8-4d41-9c9b-e3f50481bbac&xptdk=d00cae45-39e8-4d41-9c9b-e3f50481bbac,4.9,39000,81900000
"[Chính Hãng] Tất Nike Chính Hãng Unisex Nam Nữ, Tất Vớ Thể Thao Nike Công Nghệ Drifit cổ cao, cổ trung, cổ thấp",https://shopee.vn/-Ch%C3%ADnh-H%C3%A3ng-T%E1%BA%A5t-Nike-Ch%C3%ADnh-H%C3%A3ng-Unisex-Nam-N%E1%BB%AF-T%E1%BA%A5t-V%E1%BB%9B-Th%E1%BB%83-Thao-Nike-C%C3%B4ng-Ngh%E1%BB%87-Drifit-c%E1%BB%95-cao-c%E1%BB%95-trung-c%E1%BB%95-th%E1%BA%A5p-i.1016746156.22674189063?sp_atk=848310c3-6c92-44b7-814f-448af4ed88a3&xptdk=848310c3-6c92-44b7-814f-448af4ed88a3,4.9,55300,66360000
Tất chống hôi chân phong cách Hàn Quốc cho nam,https://shopee.vn/T%E1%BA%A5t-ch%E1%BB%91ng-h%C3%B4i-ch%C3%A2n-phong-c%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-cho-nam-i.432299392.10028822923?sp_atk=c052d5f9-7f47-4c61-803d-4fa377e65235&xptdk=c052d5f9-7f47-4c61-803d-4fa377e65235,4.8,5000,79500000
1 Đôi Tất Thể Thao Cotton Dày Màu Trắng/Đen Cho Nam,https://shopee.vn/1-%C4%90%C3%B4i-T%E1%BA%A5t-Th%E1%BB%83-Thao-Cotton-D%C3%A0y-M%C3%A0u-Tr%E1%BA%AFng-%C4%90en-Cho-Nam-i.582137219.18912652810?sp_atk=2fdc4139-45a1-423c-9de6-c342e192dcf3&xptdk=2fdc4139-45a1-423c-9de6-c342e192dcf3,4.5,9000,155700000
"Tất cao cổ Uniql0 heattech dày dặn ấm áp kháng khuẩn khử mùi, tất đi lạnh, vớ cao cổ Unisex mùa đông",https://shopee.vn/T%E1%BA%A5t-cao-c%E1%BB%95-Uniql0-heattech-d%C3%A0y-d%E1%BA%B7n-%E1%BA%A5m-%C3%A1p-kh%C3%A1ng-khu%E1%BA%A9n-kh%E1%BB%AD-m%C3%B9i-t%E1%BA%A5t-%C4%91i-l%E1%BA%A1nh-v%E1%BB%9B-cao-c%E1%BB%95-Unisex-m%C3%B9a-%C4%91%C3%B4ng-i.960970699.23334878607?sp_atk=6b7e7746-812a-45cf-baa6-5daac4bcf05c&xptdk=6b7e7746-812a-45cf-baa6-5daac4bcf05c,5.0,30000,42000000
"Set 10 đôi Tất nam cổ cao bắp chân thời trang, len hàng đẹp bán chạy",https://shopee.vn/Set-10-%C4%91%C3%B4i-T%E1%BA%A5t-nam-c%E1%BB%95-cao-b%E1%BA%AFp-ch%C3%A2n-th%E1%BB%9Di-trang-len-h%C3%A0ng-%C4%91%E1%BA%B9p-b%C3%A1n-ch%E1%BA%A1y-i.64351693.24701961553?sp_atk=f6503654-cec7-4b57-a6a4-7dc9bf5d35f8&xptdk=f6503654-cec7-4b57-a6a4-7dc9bf5d35f8,5.0,45000,13860000
"(1 đôi) Tất/vớ nam trung cổ kiểu dáng thể thao, dày vừa. Ba kiểu: đen, ghi phối bàn, ghi phối mũi gót.",https://shopee.vn/(1-%C4%91%C3%B4i)-T%E1%BA%A5t-v%E1%BB%9B-nam-trung-c%E1%BB%95-ki%E1%BB%83u-d%C3%A1ng-th%E1%BB%83-thao-d%C3%A0y-v%E1%BB%ABa.-Ba-ki%E1%BB%83u-%C4%91en-ghi-ph%E1%BB%91i-b%C3%A0n-ghi-ph%E1%BB%91i-m%C5%A9i-g%C3%B3t.-i.27808424.9864417902?sp_atk=52343a15-3e18-4468-be76-ebe1f281574c&xptdk=52343a15-3e18-4468-be76-ebe1f281574c,4.8,5000,146000000
"[ SET 5 ĐÔI ] Tất Nike dệt kim cao cấp ba màu trắng, đen, xám, vớ Nike co giãn 4 chiều dày dặn không mùi cổ cao, cổ lửng",https://shopee.vn/-SET-5-%C4%90%C3%94I-T%E1%BA%A5t-Nike-d%E1%BB%87t-kim-cao-c%E1%BA%A5p-ba-m%C3%A0u-tr%E1%BA%AFng-%C4%91en-x%C3%A1m-v%E1%BB%9B-Nike-co-gi%C3%A3n-4-chi%E1%BB%81u-d%C3%A0y-d%E1%BA%B7n-kh%C3%B4ng-m%C3%B9i-c%E1%BB%95-cao-c%E1%BB%95-l%E1%BB%ADng-i.758825040.22978142397?sp_atk=d33f5a35-8287-4666-9e3b-f30c89a85db2&xptdk=d33f5a35-8287-4666-9e3b-f30c89a85db2,4.9,12500,1250000
Hộp 10 đôi tất chống hôi kháng khuẩn xuất nhật nam nữ (loại đẹp),https://shopee.vn/H%E1%BB%99p-10-%C4%91%C3%B4i-t%E1%BA%A5t-ch%E1%BB%91ng-h%C3%B4i-kh%C3%A1ng-khu%E1%BA%A9n-xu%E1%BA%A5t-nh%E1%BA%ADt-nam-n%E1%BB%AF-(lo%E1%BA%A1i-%C4%91%E1%BA%B9p)-i.79087633.2065782028?sp_atk=a16edab9-edef-44ae-a26a-f5e0283d5874&xptdk=a16edab9-edef-44ae-a26a-f5e0283d5874,4.8,45000,940500000
Combo 10 tất nam cổ ngắn vớ nam ngắn cổ style Hàn Quốc vải sợi sồi kháng khuẩn dành cho cả nam và nữ SPORT-5 màu,https://shopee.vn/Combo-10-t%E1%BA%A5t-nam-c%E1%BB%95-ng%E1%BA%AFn-v%E1%BB%9B-nam-ng%E1%BA%AFn-c%E1%BB%95-style-H%C3%A0n-Qu%E1%BB%91c-v%E1%BA%A3i-s%E1%BB%A3i-s%E1%BB%93i-kh%C3%A1ng-khu%E1%BA%A9n-d%C3%A0nh-cho-c%E1%BA%A3-nam-v%C3%A0-n%E1%BB%AF-SPORT-5-m%C3%A0u-i.725018832.21184790028?sp_atk=a7e9871e-b2a8-449d-9172-c5d1f9ce5538&xptdk=a7e9871e-b2a8-449d-9172-c5d1f9ce5538,4.6,29000,14152000
