product_name,product_url,product_rating,product_price,product_revenue
"Giá Treo, Giá Đỡ Tai Nghe Cao Cấp CROSSLINE (Kim Loại , Đệm Da )",https://shopee.vn/Gi%C3%A1-Treo-Gi%C3%A1-%C4%90%E1%BB%A1-Tai-Nghe-Cao-C%E1%BA%A5p-CROSSLINE-(Kim-Lo%E1%BA%A1i-%C4%90%E1%BB%87m-Da-)-i.29358118.1960473830?sp_atk=1d31545c-b8b1-4051-99fa-1f15bc8a1db4&xptdk=1d31545c-b8b1-4051-99fa-1f15bc8a1db4,5.0,135000,32265000
"Máy cắt giấy hủy tài liệu mini A4, A6, USB cắt tự động, thủ công, cắt giấy vụn",https://shopee.vn/M%C3%A1y-c%E1%BA%AFt-gi%E1%BA%A5y-h%E1%BB%A7y-t%C3%A0i-li%E1%BB%87u-mini-A4-A6-USB-c%E1%BA%AFt-t%E1%BB%B1-%C4%91%E1%BB%99ng-th%E1%BB%A7-c%C3%B4ng-c%E1%BA%AFt-gi%E1%BA%A5y-v%E1%BB%A5n-i.71096668.12055598223?sp_atk=9b9a3be9-a283-4d85-a68b-6c60a572548c&xptdk=9b9a3be9-a283-4d85-a68b-6c60a572548c,4.9,165000,231000000
[Chính Hãng] Combo Arm North Bayou [NB] Nhập Khẩu,https://shopee.vn/-Ch%C3%ADnh-H%C3%A3ng-Combo-Arm-North-Bayou-NB-Nh%E1%BA%ADp-Kh%E1%BA%A9u-i.3419273.19151255200?sp_atk=c61740e8-5512-48bb-9111-6f5acc858805&xptdk=c61740e8-5512-48bb-9111-6f5acc858805,5.0,473000,245487000
Balo Laptop Gaming ROG Big Size (17.3 Inch) 2021,https://shopee.vn/Balo-Laptop-Gaming-ROG-Big-Size-(17.3-Inch)-2021-i.10686816.8014376223?sp_atk=a2fe2bca-f2fd-4439-b569-a67a4ee469bb&xptdk=a2fe2bca-f2fd-4439-b569-a67a4ee469bb,4.9,329000,152985000
"GSM MODEM 16 CỔNG Psc sim, nhận otp sim , Spam sms - BẢO HÀNH 12 THÁNG - TẶNG KÈM PHẦN MỀM",https://shopee.vn/GSM-MODEM-16-C%E1%BB%94NG-Psc-sim-nh%E1%BA%ADn-otp-sim-Spam-sms-B%E1%BA%A2O-H%C3%80NH-12-TH%C3%81NG-T%E1%BA%B6NG-K%C3%88M-PH%E1%BA%A6N-M%E1%BB%80M-i.173467974.18358072798?sp_atk=9dd0236c-969f-441b-b622-f7e84a4246af&xptdk=9dd0236c-969f-441b-b622-f7e84a4246af,4.6,3300000,260700000
"Có Sẵn- Máy cắt giấy A4 tự động,máy huỷ tài liệu- ảnh và video thật",https://shopee.vn/C%C3%B3-S%E1%BA%B5n-M%C3%A1y-c%E1%BA%AFt-gi%E1%BA%A5y-A4-t%E1%BB%B1-%C4%91%E1%BB%99ng-m%C3%A1y-hu%E1%BB%B7-t%C3%A0i-li%E1%BB%87u-%E1%BA%A3nh-v%C3%A0-video-th%E1%BA%ADt-i.89685937.12752917398?sp_atk=332c27df-aec6-473a-b66b-a6aafd714a45&xptdk=332c27df-aec6-473a-b66b-a6aafd714a45,4.8,199000,108256000
Chân đế siêu bền cho Camera,https://shopee.vn/Ch%C3%A2n-%C4%91%E1%BA%BF-si%C3%AAu-b%E1%BB%81n-cho-Camera-i.64805980.12735541809?sp_atk=6e7e6450-cc86-466e-986a-8877e5b7d2fd&xptdk=6e7e6450-cc86-466e-986a-8877e5b7d2fd,4.7,2600,41080000
Skin Dán Laptop 5 Màu Hồng Trơn - Miếng Dán Laptop Cắt Sẵn Theo Từng Model Máy,https://shopee.vn/Skin-D%C3%A1n-Laptop-5-M%C3%A0u-H%E1%BB%93ng-Tr%C6%A1n-Mi%E1%BA%BFng-D%C3%A1n-Laptop-C%E1%BA%AFt-S%E1%BA%B5n-Theo-T%E1%BB%ABng-Model-M%C3%A1y-i.17035987.17664081553?sp_atk=5126237c-5b05-4299-b51f-632b3f32f88f&xptdk=5126237c-5b05-4299-b51f-632b3f32f88f,4.7,80000,13280000
Keycap lẻ profile OSA chất liệu PBT nhiều màu,https://shopee.vn/Keycap-l%E1%BA%BB-profile-OSA-ch%E1%BA%A5t-li%E1%BB%87u-PBT-nhi%E1%BB%81u-m%C3%A0u-i.60421007.13703326247?sp_atk=f60e46f2-b0d0-4dbb-ad13-f3e5233dc59e&xptdk=f60e46f2-b0d0-4dbb-ad13-f3e5233dc59e,4.9,25000,625000
Adapter Chuyển Đổi Thẻ Nhớ Micro SD Sang Ms Pro Duo,https://shopee.vn/Adapter-Chuy%E1%BB%83n-%C4%90%E1%BB%95i-Th%E1%BA%BB-Nh%E1%BB%9B-Micro-SD-Sang-Ms-Pro-Duo-i.289701309.20349870509?sp_atk=cf478961-a2ee-419c-a8e8-52e254e80933&xptdk=cf478961-a2ee-419c-a8e8-52e254e80933,5.0,29700,7217100
BALO LAPTOP GAMING 15.6 & 17.3 - ROG,https://shopee.vn/BALO-LAPTOP-GAMING-15.6-17.3-ROG-i.10686816.4343381393?sp_atk=1f1f9d0c-8e26-4881-9ade-918f3164ab2b&xptdk=1f1f9d0c-8e26-4881-9ade-918f3164ab2b,4.9,400000,102800000
"Quạt tản nhiệt 24v 0,07~ 0,14a 6x6x2,5 NIDEC CHÍNH HÃNG NEW",https://shopee.vn/Qu%E1%BA%A1t-t%E1%BA%A3n-nhi%E1%BB%87t-24v-0-07~-0-14a-6x6x2-5-NIDEC-CH%C3%8DNH-H%C3%83NG-NEW-i.128163679.10694787173?sp_atk=d15ab6a5-ee09-42bf-8f46-48fbc7e0cdad&xptdk=d15ab6a5-ee09-42bf-8f46-48fbc7e0cdad,4.7,14000,8470000
Loa chế cho mọi Laptop,https://shopee.vn/Loa-ch%E1%BA%BF-cho-m%E1%BB%8Di-Laptop-i.64805980.11503196836?sp_atk=b41d2717-dfa1-40cc-bb5a-a259d8c18d66&xptdk=b41d2717-dfa1-40cc-bb5a-a259d8c18d66,4.5,19000,49400000
"Bộ Vệ Sinh Macbook/Laptop/Surface Cao Cấp JRC. Vệ sinh máy ảnh, lens, ống kính-MG01",https://shopee.vn/B%E1%BB%99-V%E1%BB%87-Sinh-Macbook-Laptop-Surface-Cao-C%E1%BA%A5p-JRC.-V%E1%BB%87-sinh-m%C3%A1y-%E1%BA%A3nh-lens-%E1%BB%91ng-k%C3%ADnh-MG01-i.432171352.3494401393?sp_atk=56f8c1be-1e41-45c0-9eeb-900f9e358907&xptdk=56f8c1be-1e41-45c0-9eeb-900f9e358907,4.9,66000,22968000
Máy hủy tài liệu nhựa Hướng dẫn sử dụng cắt A4 trong suốt Công cụ cho văn phòng Helium066,https://shopee.vn/M%C3%A1y-h%E1%BB%A7y-t%C3%A0i-li%E1%BB%87u-nh%E1%BB%B1a-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-s%E1%BB%AD-d%E1%BB%A5ng-c%E1%BA%AFt-A4-trong-su%E1%BB%91t-C%C3%B4ng-c%E1%BB%A5-cho-v%C4%83n-ph%C3%B2ng-Helium066-i.619038108.12097482612?sp_atk=29ae6222-7c26-4237-a793-618159d1d7c1&xptdk=29ae6222-7c26-4237-a793-618159d1d7c1,4.4,200000,2400000
Bộ 100 bấc cotton ELEBUY wd có dây buộc dài 15cm,https://shopee.vn/B%E1%BB%99-100-b%E1%BA%A5c-cotton-ELEBUY-wd-c%C3%B3-d%C3%A2y-bu%E1%BB%99c-d%C3%A0i-15cm-i.289682861.18941009950?sp_atk=3c429e4a-d1be-4dce-8d39-0be3ab1dfdd2&xptdk=3c429e4a-d1be-4dce-8d39-0be3ab1dfdd2,5.0,32200,1674400
USB Bluetooth 5.0 TP-Link UB500 Nano/ Ugreen 80889 mới nhất dành cho Laptop-PC- Hàng chính Hãng bảo hành 24 tháng,https://shopee.vn/USB-Bluetooth-5.0-TP-Link-UB500-Nano-Ugreen-80889-m%E1%BB%9Bi-nh%E1%BA%A5t-d%C3%A0nh-cho-Laptop-PC-H%C3%A0ng-ch%C3%ADnh-H%C3%A3ng-b%E1%BA%A3o-h%C3%A0nh-24-th%C3%A1ng-i.114282642.14601608211?sp_atk=8ded8b82-abe9-41ed-925c-a2f59f8fe441&xptdk=8ded8b82-abe9-41ed-925c-a2f59f8fe441,5.0,89000,28658000
✔️[MIỄN PHÍ KHẮC TÊN] Giá đỡ laptop Kệ laptop cực vững chãi. LAP 14-17inch.Tản nhiệt tốt ko gây xước lap,https://shopee.vn/%E2%9C%94%EF%B8%8F-MI%E1%BB%84N-PH%C3%8D-KH%E1%BA%AEC-T%C3%8AN-Gia%CC%81-%C4%91o%CC%9B%CC%83-laptop-K%E1%BB%87-laptop-c%E1%BB%B1c-v%E1%BB%AFng-ch%C3%A3i.-LAP-14-17inch.Ta%CC%89n-nhi%C3%AA%CC%A3t-t%C3%B4%CC%81t-ko-g%C3%A2y-x%C6%B0%C6%A1%CC%81c-lap-i.25800576.3534080783?sp_atk=f5e6bfe0-9050-43e8-b80f-60a14afef96c&xptdk=f5e6bfe0-9050-43e8-b80f-60a14afef96c,4.9,50000,205000000
1 Thẻ Từ RFID IC Móc Khóa Token NFC 13.56MHz,https://shopee.vn/1-Th%E1%BA%BB-T%E1%BB%AB-RFID-IC-M%C3%B3c-Kh%C3%B3a-Token-NFC-13.56MHz-i.609071994.22516510008?sp_atk=f6fb2d27-d60f-44d8-92df-9c10ffc3b2d9&xptdk=f6fb2d27-d60f-44d8-92df-9c10ffc3b2d9,4.1,4649,246397
Bộ Vệ Sinh Làm Sạch Màn Hình Điện Thoai - Bàn Phím - Máy Tính - Tai Nghe Airpods Đa Năng 7 In 1 Nhỏ Gọn - Jerry Shop,https://shopee.vn/B%E1%BB%99-V%E1%BB%87-Sinh-L%C3%A0m-S%E1%BA%A1ch-M%C3%A0n-H%C3%ACnh-%C4%90i%E1%BB%87n-Thoai-B%C3%A0n-Ph%C3%ADm-M%C3%A1y-T%C3%ADnh-Tai-Nghe-Airpods-%C4%90a-N%C4%83ng-7-In-1-Nh%E1%BB%8F-G%E1%BB%8Dn-Jerry-Shop-i.111427310.19063204761?sp_atk=f8891b0b-cd7d-47d0-8b04-f8305051849a&xptdk=f8891b0b-cd7d-47d0-8b04-f8305051849a,4.8,89000,55803000
