product_name,product_url,product_rating,product_price,product_revenue
"Áo Sweater Tay Dài Thu Đông Unisex nam nữ form rộng,Áo Hoodie Nỉ Nam Local Brand Levents Basic/ Black",https://shopee.vn/%C3%81o-Sweater-Tay-D%C3%A0i-Thu-%C4%90%C3%B4ng-Unisex-nam-n%E1%BB%AF-form-ro%CC%A3%CC%82ng-%C3%81o-Hoodie-N%E1%BB%89-Nam-Local-Brand-Levents-Basic-Black-i.37101020.12996284484?sp_atk=a59ede60-6094-4c71-b168-4d985f90afaa&xptdk=a59ede60-6094-4c71-b168-4d985f90afaa,4.7,109000,501400000
Áo Len Cổ Cao 3 Phân Nam Nữ Dài Tay Cao Cấp Wool,https://shopee.vn/%C3%81o-Len-C%E1%BB%95-Cao-3-Ph%C3%A2n-Nam-N%E1%BB%AF-D%C3%A0i-Tay-Cao-C%E1%BA%A5p-Wool-i.378225783.11566956751?sp_atk=fa238c4b-e2db-47df-ab43-788b69d5fa9e&xptdk=fa238c4b-e2db-47df-ab43-788b69d5fa9e,4.8,129000,954600000
Áo Hoodie Nike Thêu Nỉ Bông Siêu Dày Hot Trend Unisex,https://shopee.vn/%C3%81o-Hoodie-Nike-Th%C3%AAu-N%E1%BB%89-B%C3%B4ng-Si%C3%AAu-D%C3%A0y-Hot-Trend-Unisex-i.43164597.11679017587?sp_atk=0dcfe5a9-c8dd-42de-a0b5-8a5d7d96d10a&xptdk=0dcfe5a9-c8dd-42de-a0b5-8a5d7d96d10a,4.9,249000,1319700000
Áo khoác nam nữ Alan walker giá siêu rẻ tại xưởng B013,https://shopee.vn/%C3%81o-kho%C3%A1c-nam-n%E1%BB%AF-Alan-walker-gi%C3%A1-si%C3%AAu-r%E1%BA%BB-t%E1%BA%A1i-x%C6%B0%E1%BB%9Fng-B013-i.28922289.383407627?sp_atk=11be37fa-e8cb-421e-8a73-f4674eac630b&xptdk=11be37fa-e8cb-421e-8a73-f4674eac630b,4.5,65000,292500000
Áo sweater nỉ unisex in Nothing Is Certain cực đẹp nhiều màu phom nam nữ đều mặc được,https://shopee.vn/%C3%81o-sweater-n%E1%BB%89-unisex-in-Nothing-Is-Certain-c%E1%BB%B1c-%C4%91%E1%BA%B9p-nhi%E1%BB%81u-m%C3%A0u-phom-nam-n%E1%BB%AF-%C4%91%E1%BB%81u-m%E1%BA%B7c-%C4%91%C6%B0%E1%BB%A3c-i.333116310.20749203171?sp_atk=19261f22-8106-4a94-bbca-b0212a1e9538&xptdk=19261f22-8106-4a94-bbca-b0212a1e9538,4.6,75000,71175000
Áo sweater Dệt Kim Cổ Tròn In Chữ Thời Trang Thu Đông Cho Cặp Đôi,https://shopee.vn/%C3%81o-sweater-D%E1%BB%87t-Kim-C%E1%BB%95-Tr%C3%B2n-In-Ch%E1%BB%AF-Th%E1%BB%9Di-Trang-Thu-%C4%90%C3%B4ng-Cho-C%E1%BA%B7p-%C4%90%C3%B4i-i.881309585.20061751042?sp_atk=ba403d8f-c694-40b6-b438-e1c58f9a6d34&xptdk=ba403d8f-c694-40b6-b438-e1c58f9a6d34,4.5,212000,402800000
"Áo nỉ hoodie cặp đôi nam nữ người yêu đẹp giá rẻ, dễ thương unisex basic oversize form rộng chất nỉ bông dày GOAT STORE",https://shopee.vn/%C3%81o-n%E1%BB%89-hoodie-c%E1%BA%B7p-%C4%91%C3%B4i-nam-n%E1%BB%AF-ng%C6%B0%E1%BB%9Di-y%C3%AAu-%C4%91%E1%BA%B9p-gi%C3%A1-r%E1%BA%BB-d%E1%BB%85-th%C6%B0%C6%A1ng-unisex-basic-oversize-form-r%E1%BB%99ng-ch%E1%BA%A5t-n%E1%BB%89-b%C3%B4ng-d%C3%A0y-GOAT-STORE-i.155752147.11624570406?sp_atk=4ee698c9-6687-4fda-beb8-84ca7e8da1d6&xptdk=4ee698c9-6687-4fda-beb8-84ca7e8da1d6,4.5,87880,114244000
ÁO KHOÁC BOMBER NAM NỮ MÀU SẮC TRẺ TRUNG NĂNG ĐỘNG SÀNH ĐIỆU THỜI TRANG CHU G,https://shopee.vn/%C3%81O-KHO%C3%81C-BOMBER-NAM-N%E1%BB%AE-M%C3%80U-S%E1%BA%AEC-TR%E1%BA%BA-TRUNG-N%C4%82NG-%C4%90%E1%BB%98NG-S%C3%80NH-%C4%90I%E1%BB%86U-TH%E1%BB%9CI-TRANG-CHU-G-i.254790168.17808686920?sp_atk=b591a705-cad6-4419-afc3-f7eecd1b3b74&xptdk=b591a705-cad6-4419-afc3-f7eecd1b3b74,4.6,22000,61600000
"Áo Hoodie Just Do It From Rộng Cao Cấp, Áo Nỉ Bông Unisex Nam nữ Chất Dày Hàn Quốc Xuất Xịn",https://shopee.vn/%C3%81o-Hoodie-Just-Do-It-From-R%E1%BB%99ng-Cao-C%E1%BA%A5p-%C3%81o-N%E1%BB%89-B%C3%B4ng-Unisex-Nam-n%E1%BB%AF-Ch%E1%BA%A5t-D%C3%A0y-H%C3%A0n-Qu%E1%BB%91c-Xu%E1%BA%A5t-X%E1%BB%8Bn-i.624263846.23014349032?sp_atk=26111ee6-2612-4cf3-91bc-56047707d150&xptdk=26111ee6-2612-4cf3-91bc-56047707d150,4.6,213500,811300000
TINGOAN® - Áo len xù lệch vai dáng rộng đen RUNAWAY SWEATER/BL,https://shopee.vn/TINGOAN%C2%AE-%C3%81o-len-x%C3%B9-l%E1%BB%87ch-vai-d%C3%A1ng-r%E1%BB%99ng-%C4%91en-RUNAWAY-SWEATER-BL-i.181877747.5270277825?sp_atk=8a4ca574-6b89-4b7f-a9f6-cc89dd5c143b&xptdk=8a4ca574-6b89-4b7f-a9f6-cc89dd5c143b,5.0,399000,2114700000
Áo hoodies dài tay unisex SOZO in hình gấu - AO TOP NAM 90000203,https://shopee.vn/%C3%81o-hoodies-d%C3%A0i-tay-unisex-SOZO-in-h%C3%ACnh-g%E1%BA%A5u-AO-TOP-NAM-90000203-i.423720113.20950177544?sp_atk=f67f848e-c1c0-4ff2-89e3-5d3a8b4c95c4&xptdk=f67f848e-c1c0-4ff2-89e3-5d3a8b4c95c4,3.5,49000,142100000
